Task Type,Details,Due date,Days Due
Report stage not complete,"IU-ASR-005842 : Super Air Jet ASR Form | 1. Perform remedial action, if required.  2. Perform Post-Risk Assessment.  3. Go to ""Validation"" stage.  ",28/04/2026,10 days overdue
Report stage not complete,"ID-SH-59992 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",08/06/2026,Due In 1 Months
Report stage not complete,"IW-SH-11196 : WINGS AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",21/06/2026,Due In 1 Months
Report stage not complete,"JT-ASR-20459 : LION AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",21/06/2026,Due In 1 Months
Report stage not complete,"JT-SH-49596 : LION AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",21/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60079 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",21/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60080 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",21/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020091 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",21/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020112 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",21/06/2026,Due In 1 Months
